exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110646	8	0.013327	60	0	60-180	60	149	NoGap	1	1	2	75	0	distractor	1	2013	0	0	13.328	12.981	13.675
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110655	8	0.013327	60	0	60-180	60	149	NoGap	1	2	2	75	0	distractor	1	1253	374	374	13.328	13.085	13.537
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110702	8	0.013327	60	0	60-180	60	144	NoGap	1	3	2	2	1	target	1	1533	234	608	13.328	13.019	13.639
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110709	8	0.013327	60	0	60-180	60	171	NoGap	1	4	2	4	1	target	1	1640	180	788	13.328	13.055	13.634
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110716	8	0.013327	60	0	60-180	60	155	NoGap	1	5	2	0	0	distractor	1	1173	414	1202	13.328	13.044	13.611
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110723	8	0.013327	60	0	60-180	60	163	NoGap	1	6	2	0	0	distractor	1	1226	387	1589	13.328	13.185	13.470
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110729	8	0.013327	60	0	60-180	60	180	NoGap	1	7	2	75	0	distractor	1	973	514	2103	13.328	12.940	13.682
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110737	8	0.013327	60	0	60-180	60	113	NoGap	1	8	2	0	1	target	1	1253	374	2477	13.328	13.034	13.621
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110743	8	0.013327	60	0	60-180	60	140	NoGap	1	9	2	1	1	target	1	1027	487	2964	13.328	13.085	13.587
ProbeTrackDT01	28	ProbeTrack	10.4	SCS215a	20100715.110627	20100715.110749	8	0.013327	60	0	60-180	60	92	NoGap	1	10	2	2	1	target	1	1506	247	3211	13.328	13.043	13.579
