exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101720	8	0.013346	60	0	60-180	60	135	NoGap	1	1	2	45	1	target	1	707	647	647	13.328	13.288	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101727	8	0.013346	60	0	60-180	60	143	NoGap	1	2	2	6	0	distractor	1	747	627	1274	13.328	13.292	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101733	8	0.013346	60	0	60-180	60	134	NoGap	1	3	2	45	1	distractor	0	827	-1000	274	13.328	13.292	13.371
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101739	8	0.013346	60	0	60-180	60	84	NoGap	1	4	2	6	1	target	1	813	594	868	13.328	13.292	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101745	8	0.013346	60	0	60-180	60	78	NoGap	1	5	2	9	1	target	1	680	660	1528	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101750	8	0.013346	60	0	60-180	60	106	NoGap	1	6	2	45	0	distractor	1	1306	347	1875	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101756	8	0.013346	60	0	60-180	60	64	NoGap	1	7	2	3	1	target	1	653	674	2549	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101801	8	0.013346	60	0	60-180	60	178	NoGap	1	8	2	9	0	distractor	1	680	660	3209	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101808	8	0.013346	60	0	60-180	60	120	NoGap	1	9	2	1	0	distractor	1	787	607	3816	13.328	13.175	13.514
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101813	8	0.013346	60	0	60-180	60	126	NoGap	1	10	2	6	1	target	1	627	687	4503	13.328	13.292	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101819	8	0.013346	60	0	60-180	60	133	NoGap	1	11	2	1	1	target	1	733	634	5137	13.328	13.268	13.386
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101825	8	0.013346	60	0	60-180	60	173	NoGap	1	12	2	3	1	distractor	0	547	-1000	4137	13.328	13.289	13.367
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101831	8	0.013346	60	0	60-180	60	159	NoGap	1	13	2	6	0	distractor	1	800	600	4737	13.328	13.287	13.369
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101837	8	0.013346	60	0	60-180	60	96	NoGap	1	14	2	1	1	target	1	880	560	5297	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101843	8	0.013346	60	0	60-180	60	135	NoGap	1	15	2	3	0	distractor	1	853	574	5871	13.328	13.292	13.362
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101849	8	0.013346	60	0	60-180	60	79	NoGap	1	16	2	9	1	target	1	614	693	6564	13.328	13.292	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101854	8	0.013346	60	0	60-180	60	180	NoGap	1	17	2	1	1	target	1	520	740	7304	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101900	8	0.013346	60	0	60-180	60	118	NoGap	1	18	2	9	0	target	0	707	-1000	6304	13.328	13.292	13.367
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101906	8	0.013346	60	0	60-180	60	117	NoGap	1	19	2	1	0	target	0	773	-1000	5304	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101911	8	0.013346	60	0	60-180	60	164	NoGap	1	20	2	6	1	target	1	654	673	5977	13.328	13.292	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101917	8	0.013346	60	0	60-180	60	72	NoGap	1	21	2	45	1	target	1	600	700	6677	13.328	13.289	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101923	8	0.013346	60	0	60-180	60	93	NoGap	1	22	2	3	1	target	1	640	680	7357	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101928	8	0.013346	60	0	60-180	60	83	NoGap	1	23	2	1	0	distractor	1	627	687	8044	13.328	13.293	13.362
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101933	8	0.013346	60	0	60-180	60	65	NoGap	1	24	2	9	0	distractor	1	760	620	8664	13.328	13.293	13.363
DTProbeTrack02	11	ProbeTrack	12.1	SCS215a	20100824.101710	20100824.101938	8	0.013346	60	0	60-180	60	160	NoGap	1	25	2	3	1	target	1	654	673	9337	13.328	13.292	13.363
