exp	sub	code	rev	comp	runtime	trialtime	stdt	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090152	single-task	8	0.013343	60	0	60-180	60	71	NoGap	1	1	2	45	1	target	1	454	773	773	13.328	12.857	13.809
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090158	single-task	8	0.013343	60	0	60-180	60	81	NoGap	1	2	2	45	1	target	1	360	820	1593	13.328	12.961	13.699
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090203	single-task	8	0.013343	60	0	60-180	60	94	NoGap	1	3	2	45	0	target	0	294	-1000	593	13.328	13.282	13.375
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090208	single-task	8	0.013343	60	0	60-180	60	115	NoGap	1	4	2	3	1	target	1	320	840	1433	13.328	13.307	13.349
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090213	single-task	8	0.013343	60	0	60-180	60	83	NoGap	1	5	2	6	1	target	1	374	813	2246	13.328	13.019	13.630
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090218	single-task	8	0.013343	60	0	60-180	60	178	NoGap	1	6	2	3	1	target	1	360	820	3066	13.328	13.153	13.495
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090224	single-task	8	0.013343	60	0	60-180	60	138	NoGap	1	7	2	1	0	distractor	1	440	780	3846	14.077	12.864	26.712
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090230	single-task	8	0.013343	60	0	60-180	60	152	NoGap	1	8	2	1	0	distractor	1	374	813	4659	13.638	12.984	40.265
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090236	single-task	8	0.013343	60	0	60-180	60	126	NoGap	1	9	2	45	0	target	0	347	-1000	3659	13.328	13.109	13.543
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090242	single-task	8	0.013343	60	0	60-180	60	169	NoGap	1	10	2	9	1	target	1	387	807	4466	13.421	13.109	26.662
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090248	single-task	8	0.013343	60	0	60-180	60	105	NoGap	1	11	2	6	1	target	1	334	833	5299	13.453	13.074	26.638
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090253	single-task	8	0.013343	60	0	60-180	60	160	NoGap	1	12	2	3	0	distractor	1	427	787	6086	13.523	13.066	39.661
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090259	single-task	8	0.013343	60	0	60-180	60	115	NoGap	1	13	2	1	0	distractor	1	640	680	6766	13.328	12.925	13.753
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090304	single-task	8	0.013343	60	0	60-180	60	166	NoGap	1	14	2	45	0	distractor	1	614	693	7459	13.328	13.246	13.410
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090311	single-task	8	0.013343	60	0	60-180	60	142	NoGap	1	15	2	9	0	distractor	1	400	800	8259	13.328	13.101	13.560
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090316	single-task	8	0.013343	60	0	60-180	60	176	NoGap	1	16	2	9	0	distractor	1	387	807	9066	13.328	13.097	13.751
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090322	single-task	8	0.013343	60	0	60-180	60	146	NoGap	1	17	2	6	1	target	1	294	853	9919	13.328	12.891	13.768
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090328	single-task	8	0.013343	60	0	60-180	60	104	NoGap	1	18	2	1	1	distractor	0	440	-1000	8919	13.328	13.305	13.357
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090333	single-task	8	0.013343	60	0	60-180	60	112	NoGap	1	19	2	45	1	target	1	387	807	9726	13.328	13.021	13.646
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090339	single-task	8	0.013343	60	0	60-180	60	155	NoGap	1	20	2	3	1	target	1	387	807	10533	13.328	13.305	13.349
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090345	single-task	8	0.013343	60	0	60-180	60	167	NoGap	1	21	2	9	1	target	1	360	820	11353	13.328	13.105	13.551
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090350	single-task	8	0.013343	60	0	60-180	60	123	NoGap	1	22	2	6	1	target	1	360	820	12173	13.327	13.303	13.357
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090356	single-task	8	0.013343	60	0	60-180	60	168	NoGap	1	23	2	6	0	distractor	1	467	767	12940	13.328	13.092	13.729
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090402	single-task	8	0.013343	60	0	60-180	60	178	NoGap	1	24	2	9	1	target	1	347	827	13767	13.328	12.883	13.778
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090408	single-task	8	0.013343	60	0	60-180	60	69	NoGap	1	25	2	6	0	distractor	1	560	720	14487	13.328	13.081	13.564
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090413	single-task	8	0.013343	60	0	60-180	60	86	NoGap	1	26	2	45	0	distractor	1	467	767	15254	13.328	13.095	13.560
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090418	single-task	8	0.013343	60	0	60-180	60	179	NoGap	1	27	2	9	1	target	1	400	800	16054	13.328	13.170	13.489
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090424	single-task	8	0.013343	60	0	60-180	60	167	NoGap	1	28	2	1	1	target	1	387	807	16861	13.328	13.192	13.465
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090430	single-task	8	0.013343	60	0	60-180	60	74	NoGap	1	29	2	1	1	target	1	427	787	17648	13.328	13.307	13.355
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090435	single-task	8	0.013343	60	0	60-180	60	128	NoGap	1	30	2	3	0	distractor	1	400	800	18448	13.328	13.110	13.540
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090440	single-task	8	0.013343	60	0	60-180	60	95	NoGap	1	31	2	6	0	distractor	1	400	800	19248	13.328	13.141	13.517
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090445	single-task	8	0.013343	60	0	60-180	60	160	NoGap	1	32	2	6	0	target	0	427	-1000	18248	13.328	13.098	13.561
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090451	single-task	8	0.013343	60	0	60-180	60	164	NoGap	1	33	2	9	0	distractor	1	400	800	19048	13.328	13.119	13.525
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090457	single-task	8	0.013343	60	0	60-180	60	175	NoGap	1	34	2	9	0	distractor	1	454	773	19821	13.328	12.883	13.783
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090503	single-task	8	0.013343	60	0	60-180	60	119	NoGap	1	35	2	45	1	distractor	0	1027	-1000	18821	13.328	13.099	13.538
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090510	single-task	8	0.013343	60	0	60-180	60	81	NoGap	1	36	2	3	0	distractor	1	667	667	19488	13.580	12.855	39.979
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090515	single-task	8	0.013343	60	0	60-180	60	79	NoGap	1	37	2	1	1	target	1	507	747	20235	13.328	12.854	13.806
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090519	single-task	8	0.013343	60	0	60-180	60	93	NoGap	1	38	2	1	0	distractor	1	427	787	21022	13.328	12.902	13.755
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090524	single-task	8	0.013343	60	0	60-180	60	129	NoGap	1	39	2	3	1	target	1	334	833	21855	13.328	12.913	13.755
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090132	20110128.090530	single-task	8	0.013343	60	0	60-180	60	170	NoGap	1	40	2	3	0	distractor	1	347	827	22682	13.328	12.885	13.770
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090908	20110128.090912	dt-generate	8	0.013328	60	10	60-180	60	155	GapPrac	1	1	2	9	1	target	1	440	780	23462	13.374	13.048	26.647
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090908	20110128.090918	dt-generate	8	0.013328	60	10	60-180	60	163	GapPrac	1	2	2	6	0	target	0	640	-1000	22462	13.415	12.885	27.086
DTProbeTrack03	17	ProbeTrackDT	1.1	SCS215a	20110128.090908	20110128.090924	dt-generate	8	0.013328	60	10	60-180	60	111	GapPrac	1	3	2	3	0	target	0	427	-1000	21462	13.328	12.872	13.775
