sub,hz,nobjects,ntargets,cuedur,gapdur,soa,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,badkey,rt
aes,75,8,4,60,0,3,60,180,60,1,1,129,2,0,0,701
aes,75,8,4,60,0,0,60,180,60,1,2,133,2,1,0,422
aes,75,8,4,60,0,6,60,180,60,1,3,164,1,1,0,302
aes,75,8,4,60,0,96,60,180,60,1,4,163,2,0,0,542
aes,75,8,4,60,0,0,60,180,60,1,5,126,1,0,0,582
aes,75,8,4,60,0,96,60,180,60,1,6,145,1,1,0,302
aes,75,8,4,60,0,3,60,180,60,1,7,64,1,0,0,582
aes,75,8,4,60,0,6,60,180,60,1,8,125,2,0,0,502
aes,75,8,4,60,0,0,60,180,60,2,1,74,1,0,0,462
aes,75,8,4,60,0,3,60,180,60,2,2,117,2,0,0,422
aes,75,8,4,60,0,3,60,180,60,2,3,62,1,0,0,502
aes,75,8,4,60,0,96,60,180,60,2,4,169,2,0,0,502
aes,75,8,4,60,0,0,60,180,60,2,5,112,2,0,0,542
aes,75,8,4,60,0,0,60,180,60,2,6,114,1,0,0,462
aes,75,8,4,60,0,6,60,180,60,2,7,83,2,0,0,463
aes,75,8,4,60,0,96,60,180,60,2,8,62,2,0,0,422
aes,75,8,4,60,0,6,60,180,60,2,9,94,2,0,0,462
aes,75,8,4,60,0,6,60,180,60,2,10,121,1,0,0,502
aes,75,8,4,60,0,96,60,180,60,2,11,64,2,0,0,462
aes,75,8,4,60,0,0,60,180,60,2,12,70,2,0,0,542
aes,75,8,4,60,0,96,60,180,60,2,13,170,1,0,0,502
aes,75,8,4,60,0,96,60,180,60,2,14,80,1,0,0,502
aes,75,8,4,60,0,3,60,180,60,2,15,90,1,0,0,463
aes,75,8,4,60,0,3,60,180,60,2,16,70,1,0,0,382
aes,75,8,4,60,0,6,60,180,60,2,17,153,2,0,0,462
aes,75,8,4,60,0,3,60,180,60,2,18,140,1,0,0,382
aes,75,8,4,60,0,3,60,180,60,2,19,69,1,0,0,462
aes,75,8,4,60,0,96,60,180,60,2,20,107,2,0,0,462
aes,75,8,4,60,0,0,60,180,60,2,21,140,2,0,0,422
aes,75,8,4,60,0,0,60,180,60,2,22,140,2,0,0,462
aes,75,8,4,60,0,96,60,180,60,2,23,92,1,0,0,422
aes,75,8,4,60,0,6,60,180,60,2,24,138,1,0,0,462
aes,75,8,4,60,0,6,60,180,60,2,25,74,1,1,0,503
aes,75,8,4,60,0,0,60,180,60,2,26,129,2,0,0,662
aes,75,8,4,60,0,96,60,180,60,2,27,136,2,0,0,423
aes,75,8,4,60,0,6,60,180,60,2,28,150,2,0,0,422
aes,75,8,4,60,0,96,60,180,60,2,29,85,1,0,0,422
aes,75,8,4,60,0,6,60,180,60,2,30,176,1,0,0,462
aes,75,8,4,60,0,96,60,180,60,2,31,105,2,0,0,502
aes,75,8,4,60,0,0,60,180,60,2,32,157,1,0,0,422
aes,75,8,4,60,0,6,60,180,60,2,33,165,1,0,0,462
aes,75,8,4,60,0,96,60,180,60,2,34,136,1,0,0,502
aes,75,8,4,60,0,3,60,180,60,2,35,92,2,1,1,542
aes,75,8,4,60,0,6,60,180,60,2,36,86,2,0,0,542
