exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102817	8	0.013328	60	0	60-180	60	168	NoGap	1	1	2	6	1	distractor	0	387	-1000	-1000	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102848	8	0.013328	60	0	60-180	60	123	NoGap	1	2	2	0	1	distractor	0	400	-1000	-2000	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102858	8	0.013328	60	0	60-180	60	94	NoGap	1	3	2	3	0	distractor	1	640	680	-1320	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102908	8	0.013328	60	0	60-180	60	91	NoGap	1	4	2	6	1	target	1	414	793	-527	13.328	13.289	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102918	8	0.013328	60	0	60-180	60	99	NoGap	1	5	2	96	1	target	1	387	807	280	13.328	13.293	13.364
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102925	8	0.013328	60	0	60-180	60	139	NoGap	1	6	2	6	0	distractor	1	400	800	1080	13.328	13.293	13.364
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102933	8	0.013328	60	0	60-180	60	156	NoGap	1	7	2	3	1	distractor	0	360	-1000	80	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102939	8	0.013328	60	0	60-180	60	142	NoGap	1	8	2	3	1	target	1	467	767	847	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102946	8	0.013328	60	0	60-180	60	141	NoGap	1	9	2	96	0	distractor	1	494	753	1600	13.328	13.292	13.366
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.102955	8	0.013328	60	0	60-180	60	87	NoGap	1	10	2	0	0	distractor	1	614	693	2293	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103001	8	0.013328	60	0	60-180	60	99	NoGap	1	11	2	3	0	distractor	1	547	727	3020	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103007	8	0.013328	60	0	60-180	60	145	NoGap	1	12	2	96	0	distractor	1	360	820	3840	13.328	13.293	13.367
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103015	8	0.013328	60	0	60-180	60	175	NoGap	1	13	2	96	1	target	1	387	807	4647	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103025	8	0.013328	60	0	60-180	60	164	NoGap	1	14	2	96	0	distractor	1	374	813	5460	13.328	13.289	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103033	8	0.013328	60	0	60-180	60	147	NoGap	1	15	2	3	1	target	1	507	747	6207	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103039	8	0.013328	60	0	60-180	60	103	NoGap	1	16	2	6	1	distractor	0	374	-1000	5207	13.328	13.292	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103046	8	0.013328	60	0	60-180	60	163	NoGap	1	17	2	6	0	distractor	1	440	780	5987	13.328	13.293	13.363
ProbeTrack09	6	ProbeTrack	1470	SCS215a	20090504.102806	20090504.103053	8	0.013328	60	0	60-180	60	113	NoGap	1	18	2	6	0	distractor	1	520	740	6727	13.328	13.293	13.363
