exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	gaptype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160357	8	0.013328	60	0	60-180	60	72	NoGap	None	1	1	2	0	0	distractor	1	1302	349	349	13.392	10.119	16.551
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160618	8	0.013328	60	0	60-180	60	166	NoGap	None	1	2	2	1	1	target	1	1159	421	770	13.328	13.308	13.351
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160655	8	0.013328	60	0	60-180	60	124	NoGap	None	1	3	2	30	1	target	1	672	664	1434	13.328	13.102	13.548
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160703	8	0.013328	60	0	60-180	60	111	NoGap	None	1	4	2	30	1	target	1	542	729	2163	13.328	13.098	13.550
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160710	8	0.013328	60	0	60-180	60	82	NoGap	None	1	5	2	3	1	target	1	469	766	2929	13.328	12.202	14.447
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160716	8	0.013328	60	0	60-180	60	136	NoGap	None	1	6	2	3	0	distractor	1	829	586	3515	13.328	12.526	14.125
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160723	8	0.013328	60	0	60-180	60	119	NoGap	None	1	7	2	3	1	target	1	520	740	4255	13.328	10.232	16.420
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160730	8	0.013328	60	0	60-180	60	70	NoGap	None	1	8	2	30	0	distractor	1	714	643	4898	13.328	13.101	13.551
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160738	8	0.013328	60	0	60-180	60	155	NoGap	None	1	9	2	0	1	target	1	480	760	5658	13.328	13.102	13.550
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160745	8	0.013328	60	0	60-180	60	96	NoGap	None	1	10	2	1	0	distractor	1	522	739	6397	13.328	13.310	13.348
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160752	8	0.013328	60	0	60-180	60	146	NoGap	None	1	11	2	0	1	target	1	422	789	7186	13.328	13.100	13.568
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160800	8	0.013328	60	0	60-180	60	63	NoGap	None	1	12	2	0	1	target	1	357	822	8008	13.328	13.101	13.550
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160806	8	0.013328	60	0	60-180	60	116	NoGap	None	1	13	2	3	0	distractor	1	388	806	8814	13.328	7.429	19.228
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160812	8	0.013328	60	0	60-180	60	128	NoGap	None	1	14	2	3	1	target	1	306	847	9661	13.328	4.510	22.152
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160819	8	0.013328	60	0	60-180	60	170	NoGap	None	1	15	2	0	0	distractor	1	387	807	10468	13.328	13.308	13.348
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160825	8	0.013328	60	0	60-180	60	91	NoGap	None	1	16	2	1	0	distractor	1	410	795	11263	13.328	9.573	17.080
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160831	8	0.013328	60	0	60-180	60	112	NoGap	None	1	17	2	0	0	distractor	1	407	797	12060	13.328	13.309	13.348
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160837	8	0.013328	60	0	60-180	60	130	NoGap	None	1	18	2	3	1	target	1	338	831	12891	13.328	13.275	13.367
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160843	8	0.013328	60	0	60-180	60	93	NoGap	None	1	19	2	1	0	distractor	1	627	687	13578	13.328	13.106	13.547
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160848	8	0.013328	60	0	60-180	60	83	NoGap	None	1	20	2	1	1	target	1	452	774	14352	13.328	13.103	13.549
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160854	8	0.013328	60	0	60-180	60	126	NoGap	None	1	21	2	3	0	distractor	1	461	770	15122	13.328	13.304	13.347
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160900	8	0.013328	60	0	60-180	60	114	NoGap	None	1	22	2	1	0	distractor	1	353	824	15946	13.328	13.103	13.548
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160909	8	0.013328	60	0	60-180	60	138	NoGap	None	1	23	2	3	1	target	1	437	782	16728	13.328	13.100	13.552
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160915	8	0.013328	60	0	60-180	60	119	NoGap	None	1	24	2	3	0	distractor	1	373	814	17542	13.328	13.305	13.347
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160921	8	0.013328	60	0	60-180	60	141	NoGap	None	1	25	2	30	0	distractor	1	481	760	18302	13.328	13.308	13.348
ProbeTrack15	3	ProbeTrack	15.0	SCS215b	20120202.160332	20120202.160928	8	0.013328	60	0	60-180	60	130	NoGap	None	1	26	2	30	1	target	1	335	833	19135	13.328	6.597	20.053
