identifier,hz,nObjects,nTargets,cueDuration,gapDuration,SOA,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,wrongKeyFlag,RT
el,75,8,4,60,0,9,60,180,60,1,1,87,2,1,1,-1
el,75,8,4,60,0,3,60,180,60,1,2,170,2,0,0,863
el,75,8,4,60,0,3,60,180,60,1,3,61,1,1,0,983
el,75,8,4,60,0,6,60,180,60,1,4,131,2,1,1,863
el,75,8,4,60,0,3,60,180,60,1,5,126,1,1,1,983
el,75,8,4,60,0,3,60,180,60,2,1,164,2,1,1,1383
el,75,8,4,60,0,3,60,180,60,2,2,87,1,1,1,862
el,75,8,4,60,0,0,60,180,60,2,3,84,2,0,0,1223
el,75,8,4,60,0,6,60,180,60,2,4,134,2,0,0,1143
el,75,8,4,60,0,96,60,180,60,2,5,157,1,1,1,1143
el,75,8,4,60,0,3,60,180,60,2,6,153,1,0,0,702
el,75,8,4,60,0,0,60,180,60,2,7,178,1,0,0,782
el,75,8,4,60,0,6,60,180,60,2,8,146,1,0,0,742
el,75,8,4,60,0,12,60,180,60,2,9,171,1,0,0,623
el,75,8,4,60,0,3,60,180,60,2,10,150,1,0,0,703
el,75,8,4,60,0,9,60,180,60,2,11,143,2,0,0,1223
el,75,8,4,60,0,96,60,180,60,2,12,161,1,1,0,902
el,75,8,4,60,0,3,60,180,60,2,13,125,2,0,0,1183
el,75,8,4,60,0,96,60,180,60,2,14,93,1,0,0,1183
el,75,8,4,60,0,3,60,180,60,2,15,123,1,0,0,542
el,75,8,4,60,0,3,60,180,60,2,16,178,2,0,0,903
el,75,8,4,60,0,9,60,180,60,2,17,169,2,0,0,983
el,75,8,4,60,0,12,60,180,60,2,18,76,2,0,0,903
el,75,8,4,60,0,0,60,180,60,2,19,155,2,0,0,1023
el,75,8,4,60,0,6,60,180,60,2,20,124,2,0,0,1463
el,75,8,4,60,0,12,60,180,60,2,21,72,1,1,0,662
el,75,8,4,60,0,0,60,180,60,2,22,130,1,0,0,1063
el,75,8,4,60,0,9,60,180,60,2,23,101,2,0,0,983
el,75,8,4,60,0,0,60,180,60,2,24,172,2,0,0,783
el,75,8,4,60,0,9,60,180,60,2,25,63,1,1,0,743
el,75,8,4,60,0,0,60,180,60,2,26,108,1,0,0,742
el,75,8,4,60,0,96,60,180,60,2,27,155,2,0,0,782
el,75,8,4,60,0,0,60,180,60,2,28,85,2,0,0,782
el,75,8,4,60,0,6,60,180,60,2,29,173,2,0,0,583
el,75,8,4,60,0,9,60,180,60,2,30,61,1,0,0,783
el,75,8,4,60,0,12,60,180,60,2,31,171,1,0,0,742
el,75,8,4,60,0,96,60,180,60,2,32,68,1,0,0,1263
el,75,8,4,60,0,6,60,180,60,2,33,117,2,0,0,903
el,75,8,4,60,0,0,60,180,60,2,34,180,1,0,0,902
el,75,8,4,60,0,3,60,180,60,2,35,135,2,0,0,983
el,75,8,4,60,0,6,60,180,60,2,36,155,1,0,0,1102
el,75,8,4,60,0,0,60,180,60,2,37,112,2,0,0,983
el,75,8,4,60,0,0,60,180,60,2,38,174,1,0,0,983
el,75,8,4,60,0,0,60,180,60,2,39,69,2,0,0,902
el,75,8,4,60,0,96,60,180,60,2,40,80,2,0,0,783
el,75,8,4,60,0,12,60,180,60,2,41,144,2,0,0,743
el,75,8,4,60,0,6,60,180,60,2,42,84,2,0,0,863
el,75,8,4,60,0,3,60,180,60,2,43,65,2,0,0,702
el,75,8,4,60,0,96,60,180,60,2,44,70,2,0,0,622
el,75,8,4,60,0,12,60,180,60,2,45,84,2,0,0,622
el,75,8,4,60,0,12,60,180,60,2,46,94,2,0,0,742
el,75,8,4,60,0,12,60,180,60,2,47,152,2,0,0,622
el,75,8,4,60,0,12,60,180,60,2,48,142,1,0,0,1103
el,75,8,4,60,0,12,60,180,60,2,49,152,1,0,0,1063
el,75,8,4,60,0,6,60,180,60,2,50,110,1,0,0,743
el,75,8,4,60,10,9,60,180,60,1,1,87,2,1,0,1172
el,75,8,4,60,10,3,60,180,60,1,2,170,2,1,0,1263
el,75,8,4,60,10,3,60,180,60,1,3,61,1,0,0,1623
el,75,8,4,60,10,6,60,180,60,1,4,131,2,0,0,1143
el,75,8,4,60,10,3,60,180,60,1,5,126,1,0,0,1342
el,75,8,4,60,10,9,60,180,60,2,1,92,1,0,0,1103
