sub,hz,nobjects,ntargets,cuedur,gapdur,soa,min_gapOnset,max_gapOnset,postProbeDuration,block,trial,gapOnset,probeType,error,badkey,rt
cm,75,8,4,60,0,24,60,180,60,1,1,87,2,0,0,1012
cm,75,8,4,60,0,6,60,180,60,1,2,170,2,0,0,782
cm,75,8,4,60,0,0,60,180,60,1,3,61,1,1,0,782
cm,75,8,4,60,0,6,60,180,60,1,4,131,2,0,0,582
cm,75,8,4,60,0,6,60,180,60,1,5,126,1,0,0,462
cm,75,8,4,60,0,24,60,180,60,2,1,166,1,0,0,503
cm,75,8,4,60,0,6,60,180,60,2,2,178,1,0,0,702
cm,75,8,4,60,0,24,60,180,60,2,3,121,1,0,0,462
cm,75,8,4,60,0,6,60,180,60,2,4,66,1,0,0,502
cm,75,8,4,60,0,0,60,180,60,2,5,83,1,0,0,462
cm,75,8,4,60,0,24,60,180,60,2,6,163,2,1,0,382
cm,75,8,4,60,0,96,60,180,60,2,7,176,1,0,0,462
cm,75,8,4,60,0,6,60,180,60,2,8,66,2,1,0,502
cm,75,8,4,60,0,96,60,180,60,2,9,178,2,0,0,502
cm,75,8,4,60,0,24,60,180,60,2,10,144,2,0,0,542
cm,75,8,4,60,0,24,60,180,60,2,11,130,1,0,0,422
cm,75,8,4,60,0,96,60,180,60,2,12,154,1,0,0,422
cm,75,8,4,60,0,24,60,180,60,2,13,127,2,0,0,582
cm,75,8,4,60,0,24,60,180,60,2,14,134,2,0,0,502
cm,75,8,4,60,0,96,60,180,60,2,15,78,1,0,0,382
cm,75,8,4,60,0,6,60,180,60,2,16,153,2,1,0,462
cm,75,8,4,60,0,96,60,180,60,2,17,171,1,0,0,462
cm,75,8,4,60,0,0,60,180,60,2,18,92,1,0,0,462
cm,75,8,4,60,0,6,60,180,60,2,19,138,2,0,0,623
cm,75,8,4,60,0,0,60,180,60,2,20,137,1,0,0,462
cm,75,8,4,60,0,96,60,180,60,2,21,62,1,0,0,422
cm,75,8,4,60,0,0,60,180,60,2,22,164,2,1,0,382
cm,75,8,4,60,0,6,60,180,60,2,23,76,2,0,0,542
cm,75,8,4,60,0,6,60,180,60,2,24,100,2,0,0,623
cm,75,8,4,60,0,6,60,180,60,2,25,83,2,0,0,823
cm,75,8,4,60,0,6,60,180,60,2,26,160,1,0,0,422
cm,75,8,4,60,0,0,60,180,60,2,27,62,2,0,0,542
cm,75,8,4,60,0,96,60,180,60,2,28,148,1,0,0,503
cm,75,8,4,60,0,6,60,180,60,2,29,80,1,0,0,422
cm,75,8,4,60,0,96,60,180,60,2,30,130,1,0,0,420
cm,75,8,4,60,0,96,60,180,60,2,31,122,1,0,0,422
cm,75,8,4,60,0,0,60,180,60,2,32,150,1,0,0,462
cm,75,8,4,60,0,0,60,180,60,2,33,63,1,0,0,502
cm,75,8,4,60,0,0,60,180,60,2,34,63,1,0,0,422
cm,75,8,4,60,0,0,60,180,60,2,35,75,2,0,0,542
cm,75,8,4,60,0,24,60,180,60,2,36,180,2,0,0,502
cm,75,8,4,60,0,96,60,180,60,2,37,95,2,0,0,503
cm,75,8,4,60,0,24,60,180,60,2,38,146,2,0,0,422
cm,75,8,4,60,0,24,60,180,60,2,39,87,1,0,0,382
cm,75,8,4,60,0,96,60,180,60,2,40,100,2,0,0,382
cm,75,8,4,60,0,24,60,180,60,2,41,105,1,0,0,422
cm,75,8,4,60,0,24,60,180,60,2,42,112,2,1,0,462
cm,75,8,4,60,0,24,60,180,60,2,43,75,1,0,0,702
cm,75,8,4,60,0,6,60,180,60,2,44,141,2,0,0,502
cm,75,8,4,60,0,96,60,180,60,2,45,175,1,0,0,422
cm,75,8,4,60,0,96,60,180,60,2,46,78,2,0,0,502
cm,75,8,4,60,0,96,60,180,60,2,47,106,2,0,0,542
