exp	sub	code	rev	comp	runtime	trialtime	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	meanFrameDur	minFrameDur	maxFrameDur
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.443134	8	0.013328	60	0	60-180	60	141	NoGap	1	1	4	6	0	distractor	1	1799	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.443626	8	0.013328	60	0	60-180	60	126	NoGap	1	2	4	3	0	distractor	1	1226	13.328	13.293	13.364
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.443833	8	0.013328	60	0	60-180	60	69	NoGap	1	3	4	96	1	target	1	480	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.443950	8	0.013328	60	0	60-180	60	143	NoGap	1	4	4	3	1	target	1	733	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444076	8	0.013328	60	0	60-180	60	165	NoGap	1	5	4	6	1	target	1	680	13.328	13.289	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444182	8	0.013328	60	0	60-180	60	79	NoGap	1	6	4	96	1	target	1	707	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444274	8	0.013328	60	0	60-180	60	115	NoGap	1	7	4	0	0	distractor	1	467	13.328	13.290	13.366
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444354	8	0.013328	60	0	60-180	60	167	NoGap	1	8	4	96	0	target	0	520	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444453	8	0.013328	60	0	60-180	60	130	NoGap	1	9	4	0	0	target	0	613	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444543	8	0.013328	60	0	60-180	60	164	NoGap	1	10	4	6	0	distractor	1	653	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444637	8	0.013328	60	0	60-180	60	152	NoGap	1	11	4	96	0	distractor	1	973	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444740	8	0.013328	60	0	60-180	60	104	NoGap	1	12	4	0	0	distractor	1	707	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444828	8	0.013328	60	0	60-180	60	153	NoGap	1	13	4	3	1	target	1	987	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.444922	8	0.013328	60	0	60-180	60	162	NoGap	1	14	4	96	1	distractor	0	613	13.328	13.292	13.366
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445022	8	0.013328	60	0	60-180	60	113	NoGap	1	15	4	3	0	distractor	1	867	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445109	8	0.013328	60	0	60-180	60	113	NoGap	1	16	4	96	1	target	1	893	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445204	8	0.013328	60	0	60-180	60	163	NoGap	1	17	4	6	0	distractor	1	480	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445286	8	0.013328	60	0	60-180	60	116	NoGap	1	18	4	6	0	distractor	1	747	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445362	8	0.013328	60	0	60-180	60	61	NoGap	1	19	4	0	1	target	1	680	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445428	8	0.013328	60	0	60-180	60	156	NoGap	1	20	4	0	1	target	1	520	13.328	13.292	13.370
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445509	8	0.013328	60	0	60-180	60	175	NoGap	1	21	4	0	1	target	1	573	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445593	8	0.013328	60	0	60-180	60	161	NoGap	1	22	4	0	0	distractor	1	747	13.328	13.288	13.368
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445676	8	0.013328	60	0	60-180	60	97	NoGap	1	23	4	0	1	target	1	627	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445755	8	0.013328	60	0	60-180	60	170	NoGap	1	24	4	96	1	target	1	534	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445853	8	0.013328	60	0	60-180	60	97	NoGap	1	25	4	96	1	target	1	840	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.445953	8	0.013328	60	0	60-180	60	137	NoGap	1	26	4	3	0	distractor	1	520	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446033	8	0.013328	60	0	60-180	60	99	NoGap	1	27	4	0	1	target	1	613	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446103	8	0.013328	60	0	60-180	60	147	NoGap	1	28	4	3	1	target	1	560	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446183	8	0.013328	60	0	60-180	60	150	NoGap	1	29	4	6	1	target	1	560	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446258	8	0.013328	60	0	60-180	60	148	NoGap	1	30	4	3	1	target	1	560	13.328	13.291	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446334	8	0.013328	60	0	60-180	60	97	NoGap	1	31	4	0	0	distractor	1	693	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446401	8	0.013328	60	0	60-180	60	175	NoGap	1	32	4	6	1	target	1	613	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446479	8	0.013328	60	0	60-180	60	135	NoGap	1	33	4	3	1	target	1	573	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446553	8	0.013328	60	0	60-180	60	104	NoGap	1	34	4	6	0	distractor	1	640	13.328	13.293	13.362
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446626	8	0.013328	60	0	60-180	60	159	NoGap	1	35	4	6	1	target	1	587	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446706	8	0.013328	60	0	60-180	60	96	NoGap	1	36	4	3	1	target	1	547	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446771	8	0.013328	60	0	60-180	60	84	NoGap	1	37	4	6	1	target	1	467	13.328	13.287	13.364
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446835	8	0.013328	60	0	60-180	60	125	NoGap	1	38	4	3	0	distractor	1	507	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446909	8	0.013328	60	0	60-180	60	180	NoGap	1	39	4	3	0	distractor	1	627	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.446989	8	0.013328	60	0	60-180	60	111	NoGap	1	40	4	3	0	distractor	1	733	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447058	8	0.013328	60	0	60-180	60	92	NoGap	1	41	4	96	0	distractor	1	1013	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447142	8	0.013328	60	0	60-180	60	93	NoGap	1	42	4	6	0	distractor	1	1400	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447222	8	0.013328	60	0	60-180	60	139	NoGap	1	43	4	0	0	distractor	1	653	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447299	8	0.013328	60	0	60-180	60	101	NoGap	1	44	4	0	0	distractor	1	653	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447369	8	0.013328	60	0	60-180	60	148	NoGap	1	45	4	96	0	distractor	1	653	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447464	8	0.013328	60	0	60-180	60	86	NoGap	1	46	4	6	1	target	1	587	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447534	8	0.013328	60	0	60-180	60	69	NoGap	1	47	4	96	0	distractor	1	480	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447612	8	0.013328	60	0	60-180	60	118	NoGap	1	48	4	96	1	32	-3	414	13.328	13.293	13.367
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447698	8	0.013328	60	0	60-180	60	87	NoGap	1	49	4	96	0	distractor	1	573	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.442971	733716.447784	8	0.013328	60	0	60-180	60	179	NoGap	1	50	4	6	0	distractor	1	533	13.328	13.290	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.448504	8	0.013327	60	10	60-180	60	76	GapPrac	1	1	4	6	1	distractor	0	2879	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.448626	8	0.013327	60	10	60-180	60	157	GapPrac	1	2	4	96	0	target	0	507	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.448789	8	0.013327	60	10	60-180	60	152	GapPrac	1	3	4	3	0	distractor	1	787	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.448915	8	0.013327	60	10	60-180	60	103	GapPrac	1	4	4	0	0	target	0	773	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449007	8	0.013327	60	10	60-180	60	126	GapPrac	1	5	4	0	0	distractor	1	413	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449100	8	0.013327	60	10	60-180	60	132	GapPrac	1	6	4	96	0	target	0	493	13.328	13.289	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449230	8	0.013327	60	10	60-180	60	94	GapPrac	1	7	4	6	0	target	0	507	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449303	8	0.013327	60	10	60-180	60	164	GapPrac	1	8	4	6	0	distractor	1	920	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449390	8	0.013327	60	10	60-180	60	116	GapPrac	1	9	4	0	1	distractor	0	667	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449466	8	0.013327	60	10	60-180	60	94	GapPrac	1	10	4	3	1	target	1	720	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449540	8	0.013327	60	10	60-180	60	97	GapPrac	1	11	4	96	0	distractor	1	680	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449628	8	0.013327	60	10	60-180	60	69	GapPrac	1	12	4	96	1	target	1	480	13.328	13.292	13.365
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449704	8	0.013327	60	10	60-180	60	165	GapPrac	1	13	4	6	1	target	1	733	13.328	13.293	13.367
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449788	8	0.013327	60	10	60-180	60	161	GapPrac	1	14	4	6	1	target	1	547	13.328	13.289	13.366
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449870	8	0.013327	60	10	60-180	60	102	GapPrac	1	15	4	3	0	distractor	1	547	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.449941	8	0.013327	60	10	60-180	60	180	GapPrac	1	16	4	0	1	target	1	400	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.450023	8	0.013327	60	10	60-180	60	149	GapPrac	1	17	4	96	1	distractor	0	320	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.450117	8	0.013327	60	10	60-180	60	77	GapPrac	1	18	4	3	0	distractor	1	640	13.328	13.288	13.368
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.450201	8	0.013327	60	10	60-180	60	77	GapPrac	1	19	4	3	1	target	1	613	13.328	13.090	13.598
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.448400	733716.450271	8	0.013327	60	10	60-180	60	165	GapPrac	1	20	4	0	0	target	0	827	13.328	13.292	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.451006	733716.451062	8	0.013327	60	10	60-180	60	125	GapPrac	1	1	4	96	1	distractor	0	667	13.328	13.293	13.365
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.451006	733716.451156	8	0.013327	60	10	60-180	60	93	GapPrac	1	2	4	6	0	distractor	1	653	13.328	13.293	13.363
ProbeTrack7	14	ProbeTrack	1406	SCS215a	733716.451006	733716.451229	8	0.013327	60	10	60-180	60	124	GapPrac	1	3	4	96	0	target	0	733	13.328	13.293	13.363
