exp	sub	code	rev	comp	runtime	trialtime	stdt	nstim	refreshdur	cuedur	gapdur	gapOnsetRange	durPostProbe	gapOnsetTime	blocktype	prac	trial	ntargets	soa	probeTarget	resp	acc	rt	pts	tpts	meanFrameDur	minFrameDur	maxFrameDur
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183111	single-task	8	0.013328	60	0	60-180	60	155	NoGap	1	1	2	30	0	distractor	1	1173	414	414	13.328	12.832	13.798
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183118	single-task	8	0.013328	60	0	60-180	60	133	NoGap	1	2	2	0	0	distractor	1	1256	372	786	13.328	13.151	13.501
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183125	single-task	8	0.013328	60	0	60-180	60	180	NoGap	1	3	2	1	1	target	1	1137	432	1218	13.326	12.911	13.353
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183132	single-task	8	0.013328	60	0	60-180	60	137	NoGap	1	4	2	0	1	distractor	0	1023	-1000	218	13.328	13.307	13.356
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183138	single-task	8	0.013328	60	0	60-180	60	121	NoGap	1	5	2	6	1	target	1	546	727	945	13.328	12.860	13.803
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183143	single-task	8	0.013328	60	0	60-180	60	63	NoGap	1	6	2	6	0	target	0	7467	-1000	-55	13.328	12.850	13.814
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183155	single-task	8	0.013328	60	0	60-180	60	144	NoGap	1	7	2	0	1	target	1	616	692	637	13.328	12.872	13.793
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183201	single-task	8	0.013328	60	0	60-180	60	171	NoGap	1	8	2	30	0	distractor	1	738	631	1268	13.328	12.875	13.774
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183208	single-task	8	0.013328	60	0	60-180	60	130	NoGap	1	9	2	0	1	target	1	535	733	2001	13.328	13.305	13.348
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183214	single-task	8	0.013328	60	0	60-180	60	122	NoGap	1	10	2	3	0	distractor	1	597	702	2703	13.328	12.897	13.760
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183219	single-task	8	0.013328	60	0	60-180	60	94	NoGap	1	11	2	3	0	distractor	1	678	661	3364	13.328	12.973	13.689
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183225	single-task	8	0.013328	60	0	60-180	60	165	NoGap	1	12	2	0	0	distractor	1	568	716	4080	13.328	13.104	13.551
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183231	single-task	8	0.013328	60	0	60-180	60	143	NoGap	1	13	2	0	0	distractor	1	768	616	4696	13.328	12.879	13.758
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183237	single-task	8	0.013328	60	0	60-180	60	90	NoGap	1	14	2	0	0	distractor	1	754	623	5319	13.328	13.119	13.550
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183242	single-task	8	0.013328	60	0	60-180	60	82	NoGap	1	15	2	30	1	target	1	716	642	5961	13.328	12.877	13.787
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183248	single-task	8	0.013328	60	0	60-180	60	120	NoGap	1	16	2	1	0	distractor	1	740	630	6591	13.328	12.912	13.750
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183254	single-task	8	0.013328	60	0	60-180	60	63	NoGap	1	17	2	0	1	target	1	692	654	7245	13.328	12.915	13.735
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183258	single-task	8	0.013328	60	0	60-180	60	124	NoGap	1	18	2	1	0	distractor	1	926	537	7782	13.328	13.302	13.353
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183305	single-task	8	0.013328	60	0	60-180	60	178	NoGap	1	19	2	0	1	target	1	527	737	8519	13.328	12.904	13.757
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183311	single-task	8	0.013328	60	0	60-180	60	147	NoGap	1	20	2	30	1	target	1	531	735	9254	13.328	12.966	13.678
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183317	single-task	8	0.013328	60	0	60-180	60	164	NoGap	1	21	2	1	0	distractor	1	571	715	9969	13.328	12.838	13.811
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183323	single-task	8	0.013328	60	0	60-180	60	123	NoGap	1	22	2	1	1	target	1	515	743	10712	13.328	12.880	13.762
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183329	single-task	8	0.013328	60	0	60-180	60	133	NoGap	1	23	2	6	1	target	1	490	755	11467	13.328	13.004	13.665
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183335	single-task	8	0.013328	60	0	60-180	60	106	NoGap	1	24	2	1	0	distractor	1	597	702	12169	13.328	13.306	13.352
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183340	single-task	8	0.013328	60	0	60-180	60	78	NoGap	1	25	2	6	1	target	1	610	695	12864	13.328	13.118	13.543
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183346	single-task	8	0.013328	60	0	60-180	60	65	NoGap	1	26	2	6	1	target	1	568	716	13580	13.328	13.303	13.348
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183350	single-task	8	0.013328	60	0	60-180	60	142	NoGap	1	27	2	3	1	target	1	386	807	14387	13.328	12.842	13.822
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183356	single-task	8	0.013328	60	0	60-180	60	82	NoGap	1	28	2	1	1	target	1	431	785	15172	13.328	12.891	13.778
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183401	single-task	8	0.013328	60	0	60-180	60	66	NoGap	1	29	2	6	0	distractor	1	694	653	15825	13.328	12.932	13.717
TrackDT02	5	TrackDT	2.0	SCS215a	20121205.183104	20121205.183406	single-task	8	0.013328	60	0	60-180	60	112	NoGap	1	30	2	30	0	distractor	1	598	701	16526	13.328	12.922	13.740
